,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
602,Jonathon Merrill,28,2TM,D,49,0,5,5,-9,16,0,0,0,0,5,0,0,41,0.0,92,894:34,18:15,0,0,,70,34,7,31,,merrijo01
602,Jonathon Merrill,28,DET,D,36,0,5,5,2,12,0,0,0,0,5,0,0,35,0.0,81,708:37,19:41,0,0,,58,24,5,20,,merrijo01
602,Jonathon Merrill,28,MTL,D,13,0,0,0,-11,4,0,0,0,0,0,0,0,6,0.0,11,185:57,14:18,0,0,,12,10,2,11,,merrijo01
603,Logan O'Connor,24,COL,RW,22,3,2,5,6,6,3,0,0,0,2,0,0,37,8.1,63,240:42,10:56,2,2,50.0,12,29,14,2,,oconnlo01
604,Mathieu Olivier,23,NSH,F,30,3,2,5,-1,70,2,1,0,0,2,0,0,25,12.0,38,327:37,10:55,4,4,50.0,19,62,1,3,,olivima01
605,Ryan Reaves,34,VEG,RW,37,1,4,5,0,27,1,0,0,0,4,0,0,26,3.8,54,367:23,9:56,4,9,30.8,15,141,11,4,,reavery01
606,Andrej Sekera,34,DAL,D,46,3,2,5,12,4,3,0,0,0,2,0,0,33,9.1,76,719:26,15:38,0,0,,62,47,8,20,,sekeran01
607,Marcus Sorensen,28,SJS,RW,29,1,4,5,-5,16,1,0,0,0,4,0,0,26,3.8,50,350:36,12:05,3,4,42.9,11,22,11,9,,sorenma01
608,Nate Thompson,36,WPG,C,44,2,3,5,4,4,2,0,0,1,2,0,1,20,10.0,38,426:09,9:41,143,141,50.4,20,60,8,10,,thompna01
609,Kyle Turris,31,EDM,C,27,2,3,5,-11,10,2,0,0,0,3,0,0,27,7.4,51,332:37,12:19,97,107,47.5,8,16,8,7,,turriky01
610,Jake Virtanen,24,VAN,RW,38,5,0,5,-4,41,4,1,0,1,0,0,0,50,10.0,98,465:36,12:15,9,4,69.2,12,83,15,11,,virtaja01
611,Chris Wagner,29,BOS,C,41,2,3,5,-9,24,1,0,1,0,3,0,0,57,3.5,86,479:10,11:41,41,38,51.9,21,75,14,7,,wagnech01
612,Victor Mete,22,2TM,D,28,1,4,5,8,8,1,0,0,0,4,0,0,20,5.0,42,442:22,15:48,0,0,,35,19,7,10,,metevi01
612,Victor Mete,22,MTL,D,14,0,3,3,3,6,0,0,0,0,3,0,0,8,0.0,16,198:01,14:09,0,0,,10,8,4,5,,metevi01
612,Victor Mete,22,OTT,D,14,1,1,2,5,2,1,0,0,0,1,0,0,12,8.3,26,244:21,17:27,0,0,,25,11,3,5,,metevi01
613,Anthony Angello,24,PIT,C,19,2,2,4,4,8,1,1,0,0,2,0,0,19,10.5,27,151:41,7:59,0,0,,2,51,1,1,,angelan01
614,David Backes,36,ANA,C,15,3,1,4,-4,4,3,0,0,1,1,0,0,30,10.0,49,191:01,12:44,81,79,50.6,16,31,5,5,,backeda01
615,Matt Benning,26,NSH,D,53,1,3,4,-1,30,1,0,0,0,2,0,1,43,2.3,97,865:24,16:20,0,0,,53,55,3,28,,bennima01
616,Anthony Bitetto,30,NYR,D,14,1,3,4,-8,20,1,0,0,0,2,1,0,12,8.3,25,202:10,14:26,0,0,,10,21,2,3,,bitetan01
617,Zach Bogosian,30,TOR,D,45,0,4,4,7,49,0,0,0,0,4,0,0,36,0.0,85,654:10,14:32,0,0,,31,67,7,19,,bogosza01
618,Brandon Carlo,24,BOS,D,27,3,1,4,1,12,3,0,0,1,1,0,0,43,7.0,90,505:09,18:43,0,0,,35,38,6,8,,carlobr01
619,Gabriel Carlsson,24,CBJ,D,14,1,3,4,-6,4,1,0,0,0,2,1,0,14,7.1,28,206:59,14:47,0,0,,12,11,4,2,,carlsga01
